#自用 无搬
自用源,#genre#
BRAZZERS [18+],http://23.237.100.82:8000/BRAZZERS/index.m3u8
BS11 日本,http://194.233.72.249/BS11/index.m3u8
BT Sport 1,http://212.8.253.117/BTSport1HD/index.m3u8
Cartoon Network,http://89.254.128.5:22280/cartoon_network/video.m3u8
Cartoon Network,http://103.112.191.9:880/LAOSAT1090.m3u8
Cartoon Network 西语,https://playout.cdn.cartoonnetwork.com.br/playout_01/playlist.m3u8
CARTOONITO 可选英语,http://149.100.19.131:8080/Boomerang/index.m3u8
CBN News,https://bcovlive-a.akamaihd.net/re8d9f611ee4a490a9bb59e52db91414d/us-east-1/734546207001/playlist.m3u8
CBS,http://41.205.93.154/CBS/index.m3u8
CBS Drama,http://213.254.12.7:80/CBSDrama/manifest.m3u8
CBS News Los Angeles,https://cbsn-la.cbsnstream.cbsnews.com/out/v1/57b6c4534a164accb6b1872b501e0028/master.m3u8
CBS News Texas,https://cbsn-dal.cbsnstream.cbsnews.com/out/v1/ffa98bbf7d2b4c038c229bd4d9122708/master.m3u8
CBS Reality,http://213.254.12.7/CBSReality/manifest.m3u8
CBS Sports Network,http://66.70.176.103:8081/USA%7CCBSPORTSNET/USA%7CCBSPORTSNET/playlist.m3u8
CGTN 中国环球电视 英文,http://live.cgtn.com/1000/prog_index.m3u8
CGTN 中国环球电视 英文,http://103.112.191.9:880/LAOSAT1074.m3u8
CGTN Documentary,https://news.cgtn.com/resource/live/document/cgtn-doc.m3u8
CGTN Documentary,http://210.210.155.37/session/76016e74-b2c7-11ed-b03c-b82a72d63267/qwr9ew/s/s20/index10.m3u8
Channel U 音乐,https://1826200335.rsc.cdn77.org/1826200335/index.m3u8
cheddar news,https://cheddar.samsung.wurl.com/manifest/playlist.m3u8
Cinemax,http://94.156.33.91:80/Cinemax/index.m3u8
CINEMAX 电影 可选语言,http://146.59.85.40:89/cinemax/mono.m3u8
CINEMAX 2 电影 可选语言,http://146.59.85.40:89/cinemax2/mono.m3u8
CinemaWorld,http://210.210.155.37/session/88c07ef2-a764-11ec-aeac-b82a72d63267/dr9445/h/h04/01.m3u8
CJB TV 韩国,http://1.222.207.80:1935/live/cjbtv/playlist.m3u8
CNA 新加坡,http://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index_4.m3u8
CNA 新加坡,http://210.210.155.37/session/b86f93a4-b2c6-11ed-8b6a-b82a72d63267/uq2663/h/h29/index10.m3u8
CNA 新加坡,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV52.m3u8
CNBC,http://41.205.93.154/CNBC/index.m3u8
CNBC,http://23.237.98.42:8080/USA_CNBC/index.m3u8
CNBC,http://61.221.81.93:8078/hls/24/80/cnbc90.m3u8
CNBC 标清,http://103.112.191.9:880/LAOSAT1086.m3u8
CNBC Indonesia,https://live.cnbcindonesia.com/livecnbc/smil:cnbctv.smil/pikotv.m3u8
CNN,http://212.8.253.117/cnn/index.m3u8
CNN,http://213.254.12.7/cnn/mono.m3u8
CNN,http://213.254.12.7/cnn/index.m3u8
CNN,http://149.100.19.131:8080/CNN/index.m3u8
CNN,http://89.254.128.5:22280/cnn/video.m3u8
CNN,http://195.24.89.82/CNN_SD/index.m3u8
CNN,http://88.216.83.245/cnn/index.m3u8
CNN,https://79.106.90.121/cnn/index.m3u8
CNN,http://103.112.191.9:880/LAOSAT1087.m3u8
CNN,https://tve-live-lln.warnermediacdn.com/hls/live/586495/cnngo/cnn_slate/VIDEO_0_3564000.m3u8
CNN,https://tve-live-lln.warnermediacdn.com/hls/live/586495/cnngo/cnn_slate/VIDEO_2_1964000.m3u8
CNN,https://cnn-cnninternational-1-eu.rakuten.wurl.tv/206849c7acd1570962df1ad525fa8688.m3u8
CNN,http://198.16.100.90:8278/cnn_twn/playlist.m3u8?tid=ME9E1590756115907561&ct=19225&tsum=adf5db9504938a69e07bad07c9d6f7d6
CNN Indonésia,https://live.cnnindonesia.com/livecnn/smil:cnntv.smil/chunklist_w366707841_b384000_sleng.m3u8
CNN International,https://cnn-cnninternational-1-eu.rakuten.wurl.tv/playlist.m3u8
CNN Philippines,https://streaming.cnnphilippines.com/live/myStream/playlist.m3u8
Comedy Central,http://151.248.16.100:4444/ComedyCentral/index.m3u8
CRACKLE TV,https://crackle-plex.amagi.tv/playlist720lp.m3u8
Discovery Asia 中字,http://198.16.100.90:8278/discoverytwn_twn/playlist.m3u8?tid=MB1B4014431840144318&ct=19254&tsum=a72e8caa6986ef92c4d6cb743e22a78f
Discovery Asia 标清,http://103.112.191.9:880/LAOSAT1095.m3u8
Discovery Channel,http://212.8.253.117/discovery/index.m3u8
Discovery Channel 中字,http://198.16.100.90:8278/discoveryhd_twn/playlist.m3u8?tid=MF6F9560989795609897&ct=19254&tsum=5c76a2419ab5b56e7202248db95be60e
Discovery Channel [可选英语、俄语],http://45.159.74.14:80/DiscoveryChannel/index.m3u8
Discovery Channel [可选英语、俄语],http://88.216.83.245/discovery/index.m3u8
Discovery Science,http://151.248.16.100:4444/DiscoveryScience/index.m3u8
Discovery Turbo 标清,http://50.7.237.7:8081/DISCOVERYTURBO/index.m3u8
Documentary+,https://d2gplwl9ws0syl.cloudfront.net/v1/manifest/3722c60a815c199d9c0ef36c5b73da68a62b09d1/cc-a6rg0sjciai0q-ssai-prd/2ca4f9ed-97b6-42ee-8b80-57e008f765e8/2.m3u8
Docs Channel,https://0813a4e76b5d404a97a4070b8e087bc4.mediatailor.us-east-1.amazonaws.com/v1/manifest/82ded7a88773aef3d6dd1fedce15ba2d57eb6bca/wse_powr_com_5f8609d9d6344257cbfb6ee4/4107908c-bf40-4d08-a9f9-6900e2548ba0/0.m3u8
DRONE TV,https://c5c391eb5d6c43019e76edc4ea5c726b.mediatailor.us-east-1.amazonaws.com/v1/master/f4e8c53a8367a5b58e20ce054ea3ce25a3e904d3/LocalNow_DroneTV/playlist.m3u8
DUBAI one,http://212.8.253.117/viasatsport/index.m3u8
duck tv 卡通,http://51.15.9.155:80/DUCK_TV/index.m3u8
Dusk (18+),http://151.248.16.100:4444/Dusk/index.m3u8
DW 德国之声 英语,http://103.112.191.9:880/LAOSAT1072.m3u8
DW 德国之声 英语,http://213.254.12.7:80/DWEnglish/mono.m3u8
DW 德国之声 英语,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV08.m3u8
DW 德国之声 德语,https://dwamdstream109.akamaized.net/hls/live/2017970/dwstream109/index.m3u8
EBS Kids 韩国,http://ebsonair.ebs.co.kr/ebsufamilypc/familypc1m/playlist.m3u8
EDGE Sport,https://edgesport-samsunguk.amagi.tv/playlist.m3u8
EDGE Sport,https://edgesports-plex.amagi.tv/playlistR1080p.m3u8
English Club TV,http://49.12.123.148:8989/92/hls/playlist.m3u8
ESPN,http://143.244.60.30/ESPN/index.m3u8
ESPN,http://212.8.253.117/espn/index.m3u8
ESPN,http://41.205.93.154/ESPN/index.m3u8
ESPN 2,http://212.8.253.117/espn2/index.m3u8
ESTV 电子游戏,https://estv-rakuten-samsung.amagi.tv/playlist_1080p.m3u8
Euro News,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV37.m3u8
Euro News,http://103.112.191.9:880/LAOSAT1073.m3u8
Euro News,http://93.184.1.249:8080/Euronews/index.m3u8
Euro News,https://shls-live-ak.akamaized.net/out/v1/115bfcde8fa342d182ef846445cdbdcf/index.m3u8
Euro News,https://shls-live-ak.akamaized.net/out/v1/302a3ad418214d3f94460738a805b930/index.m3u8
Euro News,https://d35j504z0x2vu2.cloudfront.net/v1/master/0bc8e8376bd8417a1b6761138aa41c26c7309312/euronews/ewnsabren_eng.m3u8
EUROSPORT 可选英文,http://149.100.19.131:8080/Eurosport/index.m3u8
EUROSPORT 1,http://54.39.17.6/eurosport/mono.m3u8
EUROSPORT 1,http://51.15.9.155/EUROSPORT_1/index.m3u8
Eurosport 1,http://151.248.16.100:4444/Eurosport1/index.m3u8
EUROSPORT 2,http://51.15.9.155/EUROSPORT_2/index.m3u8
Eurosport 2,http://151.248.16.100:4444/Eurosport2/index.m3u8
Fashion & Lifestyle,http://193.33.240.8:8080/fashion_one_hd/index.m3u8
Fashion TV,http://91.247.68.229:8000/play/Fashion/index.m3u8
Fashion TV,http://lb.streaming.sk/fashiontv/stream/chunklist_w1702070444.m3u8
Fashion TV,http://103.112.191.9:880/LAOSAT1088.m3u8
FIFA 足球,https://d2anxt9uu5yxtz.cloudfront.net/v1/master/3722c60a815c199d9c0ef36c5b73da68a62b09d1/cc-ja4uwkkhcliwv/v1/chili_fifa_eng_1/samsungheadend_us/latest/main/hls/playlist.m3u8
Fight Network 拳击,https://d12a2vxqkkh1bo.cloudfront.net/hls/1080p/playlist.m3u8
Fight Sports 拳击,https://shls-fight-sports-ak.akamaized.net/out/v1/ee7e6475b12e484bbfa5c31461ad4306/index.m3u8
Film Stream 电影,https://spi-filmstream-1-eu.rakuten.wurl.tv/playlist.m3u8
FLASH 音乐,https://olympusamagi.amagi.tv/hls/amagi_hls_data_olympusat-flash-plex/CDN/1280x720_2855600/index.m3u8
Food Network,http://213.254.12.7/foodnetwork/manifest.m3u8
Food Network 可选英文,http://149.100.19.131:8080/Food_Network/index.m3u8
Fox,http://151.248.16.100:4444/Fox/index.m3u8
Fox,http://88.216.83.245/fox/index.m3u8
Fox,https://79.106.90.121/fox/index.m3u8
Fox,http://50.7.137.106:8080/FOX/index.m3u8?token=test
Fox 可选英语,http://149.100.19.131:8080/FOX/index.m3u8
Fox Life,http://93.184.1.249:8080/Fox_Life/index.m3u8
Fox News Now,https://fox-foxnewsnow-samsungus.amagi.tv/playlist720p.m3u8
Fox News Now,https://fox-foxnewsnow-samsungus.amagi.tv/playlist.m3u8
Fox Sports 1,http://143.244.60.30/Fox_Sports_1/index.m3u8
Fox Sports 2,https://d17lgdx4t7a4od.cloudfront.net/out/v1/9143d1b1e45440b99f1fdc3a6a50c210/index_155.m3u8
France 24 英语,http://163.172.70.244:8080/FRANCE_24/mono.m3u8
France 24 英语,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV38.m3u8
France 3,http://212.8.253.117/france3/index.m3u8
France 4,http://178.170.47.109/FRANCE4/index.m3u8
France 5,http://69.64.57.208/france5/mono.m3u8
France Info 法语,http://149.7.102.223:8080/FRANCEINFO/manifest.m3u8
FUJI TV 日本,http://103.82.39.163:8080/FUJITV/index.m3u8
Fuji TV 日本,http://203.162.235.41:15094/
GB NEWS 英国,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV33.m3u8
GolfPass,https://d202koqm588atp.cloudfront.net/v1/manifest/3fec3e5cac39a52b2132f9c66c83dae043dc17d4/prod-samsungtvplus-stitched-publica/ec923e5a-f0d7-4a5d-9c4b-ec3bb6a7af2b/4.m3u8
HALLMARK Movies & Mysteries,http://23.237.104.26:8080/HALLMARK_MOVIES_AND_MYSTERIES/playlist.m3u8
Harley Davidson TV,https://hdtv.prod2.ioio.tv/broker/manifests/e529407a-cb61-45ce-a9ad-94f0ad5e0ad9/1080/4423680.m3u8
HBO,http://190.171.101.36/HBO/tracks-v4a1/mono.m3u8
HBO,http://103.112.191.9:880/LAOSAT1089.m3u8
HBO,http://185.188.188.235/live/hbo/playlist.m3u8
HBO,http://41.205.93.154/HBO/index.m3u8
HBO 中字,http://61.221.81.93:8078/hls/23/80/hbo.m3u8
HBO2,http://185.188.188.235/live/hbo2/playlist.m3u8
HBO2,http://146.59.85.40:89/hbo2/index.m3u8
HBO3,http://185.188.188.235/live/hbo3/playlist.m3u8
HBO3,http://94.156.33.91/Cinemax/mono.m3u8
HGTV,http://212.8.253.117/HGTV/index.m3u8
HGTV,http://213.254.12.7/HGTV/index.m3u8
HGTV 可选英语,http://149.100.19.131:8080/HGTV/index.m3u8
History [可选俄语、英语],http://88.216.83.245/history/index.m3u8
History 2,http://149.100.19.131:8080/H2/index.m3u8
HITS,http://210.210.155.37/session/8175a902-a763-11ec-83ca-b82a72d63267/dr9445/h/h37/01.m3u8
HITS Movies,http://210.210.155.37/session/f73ff388-b2d2-11ed-8d27-c81f66f89318/dr9445/h/h38/index.m3u8
History,http://151.248.16.100:4444/History/index.m3u8
Horror Machine,https://d35j504z0x2vu2.cloudfront.net/v1/master/0bc8e8376bd8417a1b6761138aa41c26c7309312/horrormachine/playlist.m3u8
Hollywood 中字,http://198.16.100.90:8278/hollywoodmovies_twn/playlist.m3u8?tid=MECE5611281156112811&ct=19225&tsum=ad8884ee16b04f885f24bae98fc5fb9f
Hollywood 中字,http://198.16.100.90:8278/hollywoodmovies_twn/playlist.m3u8?tid=MD8D9429794794297947&ct=19193&tsum=fbe097bcbe37adad90e8bef964cac161
Hustler [18+],http://193.33.240.8:8080/hustler_hd/index.m3u8
Hustler [18+],http://23.237.100.82:8000/HUSTLER/index.m3u8
IFC,https://bcovlive-a.akamaihd.net/045bd3b615254da880c3db79b2e42fd0/us-east-1/6240731308001/playlist.m3u8
India Today 英语,https://feeds.intoday.in/hltapps/api/master.m3u8
Impact! Wrestling 摔跤,https://d2p372oxiwmcn1.cloudfront.net/hls/1080p/playlist.m3u8
ION Plus,https://ion-plus.samsung.wurl.com/playlist.m3u8
ION Plus,https://ion-ion-plus-1.vizio.wurl.com/manifest/playlist_1920x1080_4200k.m3u8
ITV,http://213.254.12.7/itv/index.m3u8
ITV2,http://213.254.12.7/itv2/index.m3u8
Investigation Discovery 法语,http://23.237.104.26:8080/INVESTIGATION/playlist.m3u8
Jasmin TV [18+],http://109.71.163.112:1935/live/hd.jasminchannel.stream/chunklist_w342629205.m3u8
J Sports 1 日本,https://redlabmcdn.s.llnwi.net/nv02/bs15hd/tracks-v1a1/mono.m3u8
J Sports 3 日本,http://redlabmcdn.s.llnwi.net/nv02/bs12hd/index.m3u8
KBS Drama 韩国,http://ye23.vip/z7z8/2021/kbs2020.php?id=5
KBS Joy 韩国,http://ye23.vip/z7z8/2021/kbs2020.php?id=6
KBS Kids 韩国,http://ye23.vip/z7z8/2021/kbs2020.php?id=9
KBS Life 韩国,http://ye23.vip/z7z8/2021/kbs2020.php?id=7
KBS News 韩国,http://ye23.vip/z7z8/2021/kbs2020.php?id=4
KBS Story 韩国,http://ye23.vip/z7z8/2021/kbs2020.php?id=8
KBS WORLD,https://kbsworld-ott.akamaized.net:443/hls/live/2002341/kbsworld/01.m3u8
KIX,http://210.210.155.37/session/cd7f2198-a763-11ec-83ca-b82a72d63267/dr9445/h/h07/01.m3u8
KMOS PBS,https://hls-kmosdt.lls.cdn.pbs.org/hls/live/index.m3u8
KYTV 韩国音乐,http://live.kytv.co.kr:8080/hls/stream.m3u8
Law & Crime,https://dai.google.com/linear/hls/event/3w3PsYzZQzS8lyRfi7e4mQ/master.m3u8
LEGO Channel,https://legochannel-vizio.amagi.tv/playlist720p.m3u8
Lifetime Movie Network,http://23.237.104.26:8080/LMN/manifest.m3u8
M4 Sport,http://146.59.85.40:89/m4hd/index.m3u8
M6 Direct 法国,https://raw.githubusercontent.com/Sphinxroot/HSL/main/M6.m3u8
M6 Music,http://178.170.47.109/M6MUSIC/index.m3u8
MagicTV 音乐,http://149.100.19.131:8080/MagicTV/index.m3u8
MBC Action,http://154.58.202.18:8080/mbcaction/index.m3u8
MBC Max,http://154.58.202.18:8080/mbcmax/index.m3u8
Miami TV [18+],http://59ec5453559f0.streamlock.net:1935/miamitv/smil:miamitv/chunklist.m3u8
Miami TV [18+],https://59ec5453559f0.streamlock.net/JennyLive/smil:WEB/playlist.m3u8
Miami TV Jenny Live [18+],http://59ec5453559f0.streamlock.net:1935/JennyLive/JennyLive/playlist.m3u8
Miami TV Jenny for You [18+],https://59ec5453559f0.streamlock.net/jennyforyou/jennyforyou/playlist.m3u8
MMA Junkie,https://a.jsrdn.com/broadcast/80f6ba72c8/+0000/high/c.m3u8
MMA TV,http://37.44.69.26:8080/KHL_HD/mono.m3u8
MOVIE SPHERE,https://moviesphere-roku.amagi.tv/playlist720lp.m3u8
MOVIE SPHERE,https://moviesphereuk-samsunguk.amagi.tv/playlist1080p.m3u8
Mr. Bean,http://51.159.104.29:8080/mrbean/index.m3u8
MTV,http://195.24.89.82/MTV_SD/index.m3u8
MTV,http://88.216.83.245/mtv/index.m3u8
MTV,http://151.248.16.100:4444/MTV/index.m3u8
MTV 西语,http://51.222.44.30:14921/MTV.m3u8
MTV 80s,http://151.248.16.100:4444/MTV80/index.m3u8
MTV 90s,http://151.248.16.100:4444/MTV90s/index.m3u8
MTV 00s,http://195.24.89.82/VH1_SD/index.m3u8
MTV 00s,http://50.7.137.106:8080/VH1/index.m3u8
MTV HITS 音乐,http://178.170.47.109/MTVHITS/index.m3u8
My Cinema,http://210.210.155.37/uq2663/h/h192/index.m3u8
My Cinema Asia,http://210.210.155.37/uq2663/h/h193/index.m3u8
My Cinema Asia,http://210.210.155.37/session/56f71390-a764-11ec-87e1-c81f66f89318/uq2663/h/h193/index.m3u8
My Cinema Europe,http://210.210.155.37/uq2663/h/h18/index.m3u8
My Cinema Europe,http://210.210.155.37/session/b357d0de-a764-11ec-87e1-c81f66f89318/uq2663/h/h18/01.m3u8
MUTV 英国曼联 足球,https://bcovlive-a.akamaihd.net/r2d2c4ca5bf57456fb1d16255c1a535c8/eu-west-1/6058004203001/playlist.m3u8
NASA TV 1,https://ntv1.akamaized.net/hls/live/2014075/NASA-NTV1-HLS/master.m3u8
NASA TV 2,https://ntv2.akamaized.net/hls/live/2013923/NASA-NTV2-HLS/master.m3u8
National Geographic,http://151.248.16.100:4444/NationalGeographic/index.m3u8
National Geographic,http://45.159.74.13:80/NationalGeographic/index.m3u8
National Geographic,http://217.107.219.67:8010/playlist.m3u8
National Geographic 中字,http://198.16.100.90:8278/natgeohd_twn/playlist.m3u8?tid=ma1f0b9808d5014467661&ct=17874&tsum=73dfb91284f5b1358251546e6f03da3d
National Geographic 中字,http://198.16.100.90:8278/natgeohd_twn/playlist.m3u8?tid=MD3D4446495344464953&ct=19249&tsum=f8c0bfc8c564a4a28247dad400acddba
National Geographic Wild,http://212.8.253.117/NatGeoWild/index.m3u8
National Geographic Wild,http://93.184.1.249:8080/Nat_Geo_Wild/index.m3u8
National Geographic Wild,http://50.7.137.106:8080/NAT_GEO_WILD/index.m3u8?token=test
National Geographic Wild 中字,http://198.16.100.90:8278/natgeowild_twn/playlist.m3u8?tid=MDDD9803492998034929&ct=18393&tsum=b276f2598186cdc8f4c513d89bfc2032
National Geographic Wild 中字,http://198.16.100.90:8278/natgeowild_twn/playlist.m3u8?tid=MF6F5354447153544471&ct=19249&tsum=fcc679b64dded7ec1ff6a0f09e335f38
NATV 韩国,https://github.com/BellezaEmporium/IPTV_Exception/raw/master/channels/kr/natv.m3u8
NBA TV,http://143.244.60.30/NBATV/index.m3u8
NBA TV,http://212.8.253.117/nba/index.m3u8
NBC,http://41.205.93.154/NBC/index.m3u8
NBC News,http://dai2.xumo.com/xumocdn/p=roku/amagi_hls_data_xumo1212A-xumo-nbcnewsnow/CDN/playlist.m3u8
NBC News,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV39.m3u8
NBC Sports California,http://66.70.176.103:8081/USA%7CNBCNCALIFORNIA/USA%7CNBCNCALIFORNIA/playlist.m3u8
NEWSMAX,https://nmxairy.akamaized.net/hls/live/529965/Live_1/index.m3u8
NHKG 日本,http://194.233.72.249:8080/NHKG/index.m3u8
NHKG 日本,http://203.162.235.41:14093/playlist.m3u8
NHK News 日语,http://202.60.106.14:8080/1301/tracks-v1a1/mono.m3u8
NHK WORLD JAPAN 英语,http://103.112.191.9:880/LAOSAT1071.m3u8
NHK WORLD JAPAN,https://nhkworld.webcdn.stream.ne.jp/www11/nhkworld-tv/global/2003458/live.m3u8
NHK WORLD JAPAN,https://nhkwlive-xjp.akamaized.net/hls/live/2003458/nhkwlive-xjp-en/index_1M.m3u8
NHK World Premium 日本,https://cdn.skygo.mn/live/disk1/NHK_World_Premium/HLSv3-FTA/NHK_World_Premium.m3u8
Nickelodeon,http://143.244.60.30/NICKELODEON/index.m3u8
Nickelodeon,http://198.16.100.90:8278/Nickelodeon/playlist.m3u8?tid=MBBB9174743591747435&ct=19249&tsum=9901089db6361b9cafc0ab9de5612bee
Nickelodeon 可选英语,http://149.100.19.131:8080/Nickelodeon/index.m3u8
Nicktoons,http://89.254.128.5:22280/nicktoons/video.m3u8
NIPPON TV 日本,http://103.82.39.163:8080/NIPPONTV/index.m3u8
NOW 70s 音乐,https://lightning-now70s-samsungnz.amagi.tv/playlist.m3u8
NOW 80s 音乐,https://lightning-now80s-samsungnz.amagi.tv/playlist.m3u8
NOW Rock 音乐,https://lightning-now90s-samsungnz.amagi.tv/playlist.m3u8
NTV News 24 日本,https://n24-cdn-live.ntv.co.jp/ch01/index.m3u8
One 31 泰国,http://103.112.191.9:880/LAOSAT1048.m3u8
ONE GOLF,http://162.250.201.58:6211/pk/ONEGOLF/tracks-v1a1/mono.m3u8
Outside TV 户外运动,https://outside-tv.samsung.wurl.com/manifest/316fba602419717190792b6b47574254.m3u8
PAC 12 Insider 体育,https://cdn-ue1-prod.tsv2.amagi.tv/linear/samsungus-pac12-samsungtv-us/playlist.m3u8
Paramount Network,http://146.59.85.40:89/paramount/index.m3u8
Paris Premiere 法国,http://178.170.47.109/PARISPREMIERE/index.m3u8
Paris Premiere 法国,https://raw.githubusercontent.com/Sphinxroot/HSL/main/PP.m3u8
